ID	SALBEG	GENDER	JOBTIME	AGE	SALNOW	EDLEVEL	WORKEXP	JOBCAT	MINORITY
664	5280	1	88	62	8040	8	7.5	1	0
666	4500	1	80	24	8940	12	.42	2	0
667	4800	1	77	42	9000	12	5.25	1	0
673	4800	1	76	40	8820	12	.5	1	0
674	7500	1	84	59	13800	12	17.33	1	0
675	4800	1	69	23	8640	12	0	2	0
680	4980	1	69	24	11160	12	0	2	0
682	4500	1	66	23	8160	12	0	2	0
684	5100	1	63	56	8580	12	11.58	2	0
686	7200	1	93	29	21600	16	.92	1	0
691	4200	1	93	25	10560	12	0	2	0
698	4500	1	81	24	9060	12	0	2	0
700	6600	1	95	55	12000	12	19	1	0
701	6600	1	73	24	8880	12	.58	2	0
710	6600	1	86	28	11760	15	2	2	0
711	5400	1	86	27	13320	15	2	1	0
713	7800	1	93	60	13560	15	16	1	0
714	4980	1	69	23	11640	8	1.42	2	0
716	4500	1	81	24	10920	12	.42	2	0
718	5520	1	82	46	9600	12	8.08	1	0
720	4620	1	93	28	9660	15	0	2	0
721	5400	1	88	28	8940	12	2.17	1	0
723	4490	1	81	24	11100	12	.42	1	0
724	4500	1	80	25	9360	12	1.5	2	0
728	5700	1	76	55	9000	12	7.5	1	0
729	4500	1	69	23	9060	12	.17	2	0
731	6600	1	85	31	11400	12	5.75	1	0
732	7500	1	68	51	10080	8	28.67	1	0
737	7992	1	84	43	14400	12	20	1	0
738	7500	1	81	32	21750	16	6.75	4	0
741	3900	1	98	27	8760	12	0	1	0
742	5400	1	64	45	9360	12	16.5	2	0
743	7500	1	90	61	12600	12	17.08	2	0
746	4380	1	80	25	9720	12	.67	2	0
748	4080	1	70	63	6300	8	22.92	1	0
749	4080	1	81	57	6960	8	32.5	1	0
750	4620	1	93	26	11700	15	.92	2	0
753	4500	1	69	23	8340	12	0	2	0
754	3900	1	92	55	6480	8	0	1	0
758	9996	1	89	52	16620	16	23.75	5	0
762	4500	1	80	25	11400	12	.33	2	0
763	6600	1	84	61	11640	8	2.92	1	0
770	4800	1	75	51	9780	12	12	1	0
772	6120	1	78	52	9360	12	17.42	1	0
774	4560	1	93	25	11040	12	.5	2	0
780	5340	1	88	27	14220	15	2.67	2	0
781	4500	1	92	26	8040	12	2	2	0
784	5220	1	70	55	7860	8	8.5	1	0
788	5100	1	66	46	9660	8	8	1	0
790	4620	1	74	24	10440	12	.17	2	0
793	5700	1	90	29	12660	12	4	1	0
796	7800	1	82	58	11100	15	22.08	2	0
800	4080	1	82	51	8940	8	4	1	0
803	4800	1	76	26	10200	15	.58	2	0
809	5100	1	65	24	9000	12	2	2	0
810	4380	1	92	25	9600	8	.5	1	0
813	5580	1	73	25	9180	15	1.83	2	0
814	5700	1	77	30	10260	12	5.33	1	0
815	4920	1	69	23	9180	12	.42	1	0
818	7800	1	64	26	13140	16	1.67	2	0
824	5400	1	66	44	9540	15	10.17	1	0
826	4080	1	72	61	7080	8	15.33	1	0
828	4200	1	93	25	9180	12	.83	2	0
831	4080	1	85	55	6840	12	6	1	0
832	4080	1	74	55	6360	8	3.58	1	0
834	4380	1	92	25	10380	12	0	1	0
835	5400	1	65	50	8640	8	14.42	1	0
845	7200	1	81	26	16320	12	.33	1	0
847	4500	1	77	24	8520	12	0	2	0
848	5400	1	66	25	11880	12	2.17	1	0
849	4500	1	96	30	12540	8	4.33	1	0
851	5400	1	70	52	8400	12	6.83	1	0
852	5760	1	91	33	10080	12	6.92	1	0
853	5520	1	67	57	8880	12	16.33	1	0
858	5640	1	90	30	10080	12	4.58	1	0
862	4800	1	73	49	9240	12	19	1	0
863	7200	1	75	29	13200	16	2.17	2	0
864	5400	1	66	64	8640	8	19	1	0
865	4500	1	80	24	7980	12	.67	1	0
866	12000	1	73	31	22700	16	1.25	5	0
869	4080	1	82	60	6480	12	0	1	0
871	4380	1	81	24	9240	12	0	2	0
873	6000	1	76	27	11664	12	1.83	2	0
876	4500	1	80	24	9360	12	0	2	0
877	5100	1	82	27	8760	15	0	1	0
879	4980	1	69	23	12240	12	.42	2	0
885	4380	1	81	24	9000	8	.42	2	0
886	4080	1	76	59	6720	8	6.33	1	0
888	4500	1	69	23	8160	12	0	2	0
902	4260	1	74	51	9480	8	23.42	1	0
904	5400	1	77	27	11940	12	3.17	1	0
906	4620	1	97	53	10500	12	4	1	0
912	4620	1	81	24	10680	12	1.5	2	0
913	5100	1	73	55	11640	17	31.25	2	0
915	5400	1	72	49	9420	15	4.08	1	0
916	6300	1	66	32	9780	12	7.25	1	0
919	4500	1	81	25	9960	12	0	2	0
924	4380	1	81	25	7860	12	.92	2	0
929	6900	1	80	30	13800	16	.25	2	0
937	7200	1	71	30	14640	16	1	2	0
941	4380	1	81	24	8820	12	.75	2	0
942	6996	1	79	28	17200	16	1.67	4	0
943	6300	1	90	29	15120	16	.58	4	0
945	3900	1	86	52	8760	12	13	1	0
947	5160	1	87	26	10680	12	1.5	1	0
949	4080	1	72	52	7980	12	4.67	1	0
953	4620	1	91	63	8400	12	9	1	0
954	5100	1	98	47	11160	15	9.58	1	0
955	4800	1	81	24	10200	12	.92	2	0
957	7200	1	71	27	23250	16	.92	6	0
963	5580	1	88	27	11400	12	2.83	1	0
969	4080	1	68	62	6480	12	15	1	0
970	4440	1	67	27	12540	15	3.92	2	0
980	6300	1	82	29	9300	16	.33	2	0
981	4860	1	77	24	13800	12	.33	2	0
987	5820	1	93	31	13920	16	.67	1	0
988	4800	1	79	50	8340	8	5.83	1	0
989	5400	1	98	47	9600	12	20.33	1	0
991	4020	1	92	44	9840	12	3.67	1	0
994	5100	1	81	27	11280	15	1.58	2	0
995	3900	1	86	62	7260	12	6	1	0
1000	4980	1	74	59	8700	8	26.5	1	0
1004	6120	1	72	25	11760	12	2.5	2	0
1011	4500	1	83	25	9600	12	1.33	2	0
1012	5700	1	63	25	11760	12	.75	2	0
1015	5400	1	78	27	9840	12	3.92	2	0
1023	6000	1	97	30	15540	16	1.42	1	0
1028	5400	1	94	29	10560	15	.25	2	0
1030	7800	1	65	30	13764	16	6.58	4	0
1031	5280	1	88	54	9780	12	8.92	1	0
1032	6900	1	86	32	18750	16	1.58	4	0
1034	4200	1	90	58	7500	15	4.5	1	0
1036	5700	1	65	59	8280	15	20.08	1	0
1039	7200	1	75	28	14820	15	.42	2	0
1042	6300	1	73	54	15060	12	11	1	0
1043	4800	1	79	24	9780	12	.67	2	0
1050	4200	1	92	25	11400	12	.5	2	0
1051	7992	1	64	29	22300	16	3	4	0
1054	4380	1	79	24	9900	12	.42	2	0
1056	5400	1	90	28	13020	15	1.83	2	0
1058	7200	1	93	32	20400	16	1.83	1	0
1059	4500	1	68	23	9120	12	.17	2	0
1062	6000	1	90	44	13320	12	.25	2	0
1063	6600	1	90	30	15420	16	0	2	0
1064	5100	1	69	24	9540	12	1.67	2	0
1066	4080	1	83	59	7920	8	6.25	1	0
1069	4800	1	87	53	8340	12	13.58	1	0
1076	4380	1	80	25	7260	12	0	2	0
1078	5400	1	67	51	8340	12	15.08	2	0
1081	7800	1	68	27	17400	16	.92	4	0
1083	4080	1	84	62	6600	12	24	1	0
1085	6600	1	98	43	12120	16	11.92	2	0
1086	4800	1	82	28	13560	12	.92	1	0
1087	5700	1	82	30	10260	15	4.25	1	0
1090	7200	1	78	28	13020	15	.5	2	0
1091	5400	1	73	27	11160	12	2.67	2	0
1092	4380	1	93	25	9720	12	.42	1	0
1099	5580	1	72	27	11520	12	1.5	2	0
1100	4380	1	89	25	10500	12	0	1	0
1102	4500	1	69	23	9120	12	0	2	0
1107	3900	1	88	62	6660	8	34.33	1	0
1108	4500	1	69	23	8280	12	.17	2	0
1110	5580	1	64	29	10080	15	4.75	2	0
1125	4800	1	73	60	8460	8	13.25	2	0
1127	4080	1	72	56	6780	8	26.58	1	0
1128	4080	1	82	53	6900	12	29.83	1	0
1129	4500	1	81	24	9240	12	1.08	2	0
626	5400	0	88	29	10680	12	3.17	1	1
629	5400	0	96	39	11640	12	9.42	1	1
634	6996	0	67	41	13320	16	10	1	1
636	5100	0	84	44	7860	12	15	1	1
638	6420	0	67	51	10500	8	8.08	1	1
640	4800	0	98	27	11340	8	2.17	2	1
643	6600	0	66	30	11220	15	7	1	1
654	5100	0	97	53	8700	12	26.25	1	1
661	5760	0	86	28	10200	12	3.08	2	1
668	6600	0	83	44	12240	15	18	1	1
676	6300	0	79	48	13800	8	20.5	3	1
678	6000	0	92	60	12300	8	36	3	1
679	6000	0	82	59	9000	15	30.92	1	1
687	6300	0	68	32	12120	8	12.92	3	1
689	7200	0	70	47	10800	17	16	1	1
693	6300	0	76	35	11820	8	12	3	1
694	6000	0	86	29	10620	12	3.17	1	1
703	5700	0	94	32	11220	15	3	1	1
725	6000	0	78	33	10620	16	8.75	2	1
727	6000	0	87	31	14100	15	4.5	1	1
730	6000	0	90	37	10980	12	14.42	2	1
747	6000	0	91	30	12180	12	4.08	0	9
752	6000	0	77	33	11100	15	4.33	1	1
773	7800	0	92	40	16080	17	14	1	1
775	6000	0	83	43	11580	15	9	1	1
776	6000	0	80	57	8940	12	22.67	1	1
789	6300	0	67	29	12780	15	4.83	2	1
792	6000	0	87	30	10680	15	4.67	1	1
794	4620	0	77	24	11100	12	1	1	1
799	0	9	64	0	10500	12	5.75	1	9
807	5220	0	85	28	10080	12	2.42	1	1
811	13500	0	74	48	23760	12	22.67	5	1
820	6300	0	70	34	9600	12	10	1	1
840	6600	0	83	28	15360	15	5.33	1	1
846	6300	0	73	38	12480	12	12.92	3	1
889	6300	0	76	28	10680	12	1.5	2	1
890	4560	0	81	24	10200	12	.75	2	1
891	6000	0	96	31	12540	15	4.08	2	1
899	5400	0	78	25	12600	12	.58	1	1
910	11496	0	70	32	31400	17	5.58	4	1
914	7200	0	91	41	11340	15	12.58	1	1
922	6000	0	94	34	12360	12	8.5	2	1
925	9300	0	88	42	17580	18	15.17	1	1
926	3600	0	91	53	12300	12	26.17	3	1
948	17640	0	66	35	40000	16	10.67	5	1
967	6000	0	78	54	8940	8	26.67	1	1
972	6000	0	91	45	12300	12	20	3	1
978	8220	0	66	32	19600	15	7.17	1	1
1002	7200	0	72	39	14280	16	11.5	1	1
1006	6300	0	67	47	12000	8	25.42	3	1
1013	6300	0	78	55	14100	12	23.42	3	1
1016	5400	0	86	63	10680	12	30.58	1	1
1018	5400	0	88	57	9480	15	29.92	1	1
1038	6000	0	79	30	11160	14	3.92	2	1
1049	6000	0	90	42	9720	15	15.92	3	1
1052	5700	0	98	33	11100	15	2.83	2	1
1061	6000	0	92	37	12000	8	12	3	1
1073	6000	0	83	48	12300	8	25.17	3	1
1077	3900	0	94	29	9000	8	3	2	1
1079	6000	0	90	43	12300	12	17.42	3	1
1080	6000	0	96	33	14400	16	3.83	1	1
1105	13992	0	67	38	26500	19	8.25	6	1
1106	6300	0	64	27	10560	15	2.67	1	1
1116	6300	0	68	30	12780	15	5.83	1	1
639	4800	1	84	27	9900	12	3.42	1	1
642	5700	1	88	34	0	0	5.08	1	1
647	4080	1	72	46	6960	0	9.67	0	1
665	4080	1	72	45	8580	8	16.17	1	1
677	5400	1	78	48	10320	15	4.25	1	1
681	4500	1	69	24	8520	12	.25	2	1
688	4440	1	97	28	0	15	6.25	0	1
695	5700	1	93	46	9900	12	16.08	1	1
699	6300	1	84	55	10860	15	19.25	1	1
705	5220	1	87	26	10620	12	.92	2	1
733	0	1	69	40	9720	12	10.08	1	1
744	5100	1	85	33	0	12	4.92	0	9
755	4800	1	87	29	11100	12	.92	1	9
795	6720	1	98	44	14040	15	11.42	1	9
798	3900	9	90	48	7860	12	19.08	1	9
825	4080	9	66	60	6540	12	13.58	1	1
893	5100	9	87	42	10020	16	10.25	1	1
895	4800	9	72	32	9900	12	5.67	2	1
900	5700	1	74	45	9780	12	9.75	1	1
921	3600	1	97	60	6780	12	10.33	1	1
935	4080	1	72	51	6780	12	22.58	1	1
936	5400	1	72	50	10440	12	14.08	1	1
940	4080	1	81	51	6840	8	0	1	1
952	0	1	93	26	9180	12	0	2	1
956	5100	1	0	38	10560	12	3	1	1
971	4800	1	84	47	9240	16	17.83	1	1
976	6000	1	86	40	11940	15	6.58	1	1
992	4380	1	83	25	8160	12	.75	1	1
1010	3600	1	97	51	8460	15	14.25	1	1
1053	4380	1	93	26	10020	8	.67	1	1
1068	4380	1	92	25	8820	12	.42	2	1
1072	0	1	0	47	8220	12	12.83	2	1
1095	5580	1	69	50	7860	12	11.08	1	1
1096	3600	1	96	60	7680	15	1.92	1	1
1098	4080	1	85	54	10980	12	8.42	1	1
1104	4620	1	96	32	9420	12	4.33	1	1
1118	4380	1	75	27	9780	12	2.67	2	1
1119	0	1	0	25	7680	12	.58	2	1
1121	4080	1	85	51	7380	12	19	1	1
1122	5220	1	70	39	8340	12	10.58	1	1
